From;To;Type;Through;x;y;x;y;
416;7902;sea;2604;2498;2078;2493;2077;Athens-Salamis
417;7902;sea;2604;2482;2080;2487;2075;Megara-Salamis
### Nile River ###
509;7688;river_large;7673;3263;1591;3255;1597;Pilousion-Thenessos
503;507;river_large;7667;3201;1525;3205;1521;Boubastos-Leonton Polis
504;528;river_large;7676;3176;1551;3167;1549;Leontopolis-Isieion
503;504;river_large;7670;3197;1532;3193;1535;Boubastis-Leontopolis (North)
528;527;river_large;7680;3153;1536;3149;1532;Iseion-Atarbechis
513;514;river_large;7674;3175;1510;3164;1508;Athribis-Nikiou
7691;530;river_large;7683;3109;1587;3104;1581;Perseos Skope-Bolbitine
502;655;river_large;7685;3262;1535;3271;1537;Heroopolis-Serapieion
545;546;river_large;9149;3179;1351;3191;1351;Oxyrhynchus-Kynopolis
554;552;river_large;9151;3226;1235;3231;1247;Moirai-Koussai
558;556;river_large;9152;3273;1199;3279;1211;Athribis-Antaiopolis
562;561;river_large;9153;3343;1151;3346;1163;Diospolis Mikra-Abydos
563;566;river_large;9154;3394;1159;3405;1160;Tenthyris-Koptos
570;569;river_large;9155;3385;1130;3395;1124;Memnonia-Diospolis Magna/Luxor
573;574;river_large;9156;3402;1085;3409;1094;Pathyris-Latopolis
### Indus River ###
6821;6822;river_large;7693;6063;2221;6064;2231;Alexandrou Limen-Barbarikon
7660;4359;river_large;7695;6008;2302;6012;2310;Abad-Samarabriai
4364;4352;river_large;7699;5941;2456;5951;2455;Oumbrai-Roruka
4377;4371;river_large;7692;6000;2648;6011;2651;Bisambritai-Alexandreia Indos
4386;4350;river_large;9199;5965;2720;5973;2733;Jampur-Mulasthanapura/Multan
4371;4378;river_large;9202;6039;2692;6035;2704;Alexandria (Indus)-Osioi
### Ganges River ###
4440;4443;river_large;7708;7122;3118;7122;3127;Pataliputra-Nadikagama
7398;7497;river_large;7703;7390;3204;7387;3212;Kushtia-Puthia
4446;7322;river_large;7706;7259;3218;7255;3225;Campa-Purnia
7395;7356;river_large;7701;7587;3225;7591;3232;Barisal-Karmanta
7327;7337;river_large;7786;7380;3164;7390;3170;Karnasurvarna-Aganagara
7345;7336;river_large;7788;7451;3119;7451;3129;Nabadwipa-Selampoura
7397;7394;river_large;7792;7511;3178;7520;3182;Jessore-Fathabad
7493;7490;river_large;7784;7447;3270;7450;3282;Varendra-Nagarpur
7493;7359;river_large;7703;7459;3227;7463;3215;Varendra-Mukund
4429;4465;river_large;9225;6984;2986;6999;2987;Varanasi-Bhabua
4428;4432;river_large;9232;6894;2907;6908;2900;Prayaga-Sajahati
4430;7373;river_large;9227;6865;2913;6868;2925;Kosambi-Sringivera
4425;7381;river_large;9230;6673;2929;6673;2944;Kanyakubja-Badaun*
7324;7344;river_large;9233;7370;3346;7381;3355;Balipura-Goalpara****
### Gallikos River ###
428;373;river_large;7709;2396;2310;2404;2313;Aigai-Thessalonike
### Euphrates & Tigris ###
968;937;river_large;7718;4238;1899;4235;1908;Eridu-Uruk
938;940;river_large;7711;4356;1941;4364;1942;Nina-Alexandreia Sousiane
942;971;river_large;7710;4411;1907;4411;1915;Apologos-Ampe
934;970;river_large;7712;4306;2002;4311;2008;Madhar-Kashkar
933;976;river_large;7714;4196;2019;4188;2027;Apameia Tigrei-Lawami
### Rhine River ###
3723;3699;river_large;7731;1403;3084;1408;3092;Bingium-Aquae Mattiacorum
3720;3787;river_large;7728;1357;3155;1361;3159;Bonna-Tenctheria
3714;3777;river_large;7726;1327;3235;1332;3240;Castra Vetera-Chattuaria
3849;3848;river_large;7725;1257;3265;1258;3272;Manaritum-Traiectum
### Baetis River ###
1342;1341;river_large;7665;390;2007;380;2019;Menesthei Limin-Tartessos
1353;1358;river_large;7771;410;2036;406;2045;Urgia-Olontigi
1374;1373;river_large;7772;461;2068;460;2078;Carmo-Naeva
### Tagus River ###
1309;1308;river_large;7769;318;2261;319;2268;Vicus Carnalocensis-Aritium
1320;1317;river_large;7768;253;2237;250;2246;Malateca-Arabriga
1311;1433;river_large;9162;405;2279;405;2269Tongorigum-Tourmogon
### Ister River ###
4520;4521;river_large;7773;2695;2774;2701;2785;Troesmis-Nobiodounos
4246;4809;river_large;7777;2626;2651;2619;2665;Durostorum-Piephigia
4227;4267;river_large;7780;2460;2586;2453;2598;Oescus-Castris Novis
4216;4276;river_large;7781;2361;2600;2373;2601;Bononia Moesia-Castra Bistria
4208;4263;river_large;9184;2298;2650;2305;2662;Taliata-AdScorfulas
4195;4826;river_large;9186;2206;2657;2214;2668;Singidunum-Tricomium
4191;4843;river_large;9189;2103;2692;2111;2703;Causilena-Onagrinum
### Rhodanus ###
2319;2314;river_large;7846;1193;2538;1184;2542;Arelatis-Nemausus
2311;2310;river_large;9171;1192;2608;1207;2605;AlbaHelviorum-Cerebelliaca
2306;2304;river_large;9172;1202;2684;1215;2685;Figlinae-Vienna
### Flumen Anas ###
1335;1339;river_large;7862;310;2065;320;2065;Balsa-Praesidium
1422;1419;river_large;9160;326;2152;334;2144;AdMuratum-TurduliaSeptentrionalis
### Liger ###
2212;2211;river_large;7865;835;2886;839;2878;Namnetum-Ratiarum
2394;2395;river_large;9166;957;2882;962;2874;Rotomagus-Briggogalus
### Sequana ###
2223;2468;river_large;7868;960;3061;961;3074;Esta-Caracotinum
2442;2473;river_large;9168;1033;3021;1035;3033;MediolanumAulercorum-Avalocum
### Borysthenes ###
4529;4530;river_large;7871;2920;2950;2935;2947;Olbia-Hippolaou
6124;7191;river_large;7871;2987;2978;2973;2985;Syti-Uttar
6143;6142;river_large;7875;3053;3097;3038;3093;Aghonor-Ghasett
6115;6117;river_large;7877;2927;3173;2922;3164;Ahgranika-Aggrat
### Tyras River ###
4525;4526;river_large;7881;2757;2900;2761;2911;Tyras-Nikonion
### Albis River ###
3837;3855;river_large;7884;1477;3421;1483;3432;Saxonnia-Mariones
3970;3893;river_large;7886;1586;3363;1595;3372;Langobardia-Avarpi
### New Islands ###
1974;220;sea;2595;2710;2090;2692;2081;Samos-Oinon Ikaros
282;283;sea;2617;2678;2219;2686;2228;Atarna-Mytilene
1884;1876;sea;2590;2818;2007;2829;2017;Phykous-Syme
1987;7936;sea;2590;2769;1997;2784;2011;Nisyros-Knidos
1987;7937;sea;2590;2790;2008;2787;1986;Telos-Knidos
1653;1970;sea;2594;-1;-1;-1;-1;Kalymnos-Kos
8015;7937;sea;2590;2789;1984;2822;1977;Kameiros-Telos
#Padus
3593;145;river_large;8030;1661;2648;1665;2641;Hatria-Corniculani
3585;3587;river_large;8033;1570;2638;1572;2631;Bedricaum-Brixellum
3582;3575;river_large;8034;1532;2649;1534;2653;Cremona-Placentia
3589;3591;river_large;8032;1608;2652;1608;2646;Hostilia-Vicus Varianus
#Thames
2022;2038;river_large;8035;973;3256;974;3250;Londinium-AdAnsam
#Don
6178;5884;river_large;8042;3356;3125;3359;3118;Ganka-Katys
6191;6192;river_large;8044;3440;3184;3443;3176;Khang-Syutnich
6200;6201;river_large;8045;3504;3229;3511;3224;Urvel-Agharite
8552;8963;river_large;8046;3508;3307;3523;3315;Liska-Karpovka
8555;9071;river_large;8583;3405;3351;3404;3365;Bolshoi-Kalm
8562;9063;river_large;8585;3261;3389;3277;3392;Kurennoe-Vite
9055;9059;river_large;9192;3197;3473;3191;3472;Ragas-Naktis
#Volga
5877;8050;river_large;8047;3886;3224;3881;3216;Enim-Sechtra
6225;5905;river_large;8048;3799;3265;3796;3255;Monok-Iska
6217;6219;river_large;8049;3670;3310;3697;3324;Ogron-Uyennik
8963;8962;river_large;9195;3568;3331;3584;3334;Karpovka-Sary Su
9076;9081;river_large;9196;3577;3415;3592;3415;Medu-Riza
9085;9088;river_large;9198;3578;3510;3592;3520;Zurka-Stana
#Iberus
1012;1239;river_large;8037;909;2292;905;2288;Dertosa-Indiblis
1064;1062;river_large;8039;880;2358;883;2346;Etobesa-AdNovas
#Issa
8026;4084;sea;2537;1946;2481;1953;2490;Issa-Pharos
8027;4084;sea;2537;1976;2475;1971;2489;Korkya Melaina-Pharos
#Pyramus
1881;1879;river_large;8028;3342;2148;3348;2148;Mallos-Aigaiai
#Kissa
4052;4049;sea;2512;1855;2603;1867;2603;Cissa-Vegium
#New Adjacencies
8338;8342;sea;8337;7433;1162;7445;1149;Maldive Straights
3847;3852;sea;5782;1259;3374;1266;3376;Frisian Straights
### Borysthenes ###
8426;8424;river_large;6355;2701;3296;2710;3300;Hdzyen-Teteriv
8448;8451;river_large;8572;2643;3443;2657;3448;Milohard-Gomel
8435;8446;river_large;8576;2604;3371;2607;3385;Mazyr-Dikoye
8424;7299;river_large;8578;2716;3284;2728;3280;Teteriv-Pidhirci
8457;8452;river_large;8580;2831;3396;2844;3400;Tyutyunnytsya-Desna
8466;8472;river_large;8581;2866;3559;2878;3560;Teteriv-Pidhirci
8544;9128;river_large;8574;2619;3574;2637;3580;Krasnaya-Bajatei
### Daugava ###
7817;7643;river_large;8586;2247;3751;2260;3763;Carbonia-Fennia
### Godavari ###
7040;7046;river_large;9221;7408;2307;7419;2312;Mosali-Alosgyni
### Krishna ###
7039;7019;river_large;9219;7364;2211;7366;2229;Kantakossyla-Andhapura
7042;7044;river_large;9220;7287;2227;7290;2241;Pitoura-Nanagaina
### Penner ###
7003;7002;river_large;9217;7401;2074;7408;2059;Kottis-Nellore
7026;7027;river_large;9218;7337;2018;7345;2007;Kadapa-Rapur
### Cauvery ###
6936;6935;river_large;9212;7558;1834;7569;1827;Karige-Chaberis
6932;6931;river_large;9213;7591;1803;7598;1794;Koroula-Nikama
6928;6927;river_large;9214;7521;1740;7529;1730;Thanjavur-Kaliour
6938;6930;river_large;9215;7445;1699;7447;1714;Karur-Karafur
### Tapi ###
6859;6860;river_large;9211;6565;2188;6576;2181;Bharukaccha-Kammonai
### Narmada ###
6858;6859;river_large;9206;6536;2209;6548;2203;Minnagara-Bharukaccha
4493;7420;river_large;9207;6592;2279;6603;2268;Akota-Nandipuri
4476;7315;river_large;9209;6672;2365;6682;2357;Mahismati-Barwani*
### Hypanis ###
4528;4529;river_large;9191;2879;2942;2891;2953;Scopuli-Olbia
### Garumna ###
2288;2289;river_large;9165;891;2631;895;2642;Praemiacum-Lucaniacum
### Sionna ###
2183;2181;river_large;9175;509;3429;513;3418;GanganiaOccidentalis-VelaboriaOrientalis
### Vidrus ###
3904;4752;river_large;9177;1760;3429;1778;3430;Sidenia-Viadrus
### Garumna ###
4862;4864;river_large;9178;2022;3488;2036;3491;Vistuliana-Venedica
4763;6281;river_large;9179;1971;3381;1985;3387;Helveconia-Follia
6276;6279;river_large;9181;2059;3334;2065;3346;Venedicania-Vadina
### Sububus ###
3065;3062;river_large;9235;377;1855;383;1863;Tabernae-Lixus

-1;-1;;-1;-1
